feature,importance
ro_p90,0.27516928
ro_mean,0.15649068
ro_max,0.09003248
tp_max,0.06691242
ro_max_lag1,0.053574026
tp_p99,0.052387197
tp_mean,0.037988607
d2m_mean,0.034639154
ro_max_lag2,0.030603131
ro_max_lag3,0.02448012
t2m_mean,0.021137943
t2m_max,0.02045781
tp_max_7d,0.016304318
sp_mean,0.015550063
evap_mean,0.015110852
tp_p90,0.014068293
ws_max,0.0138985645
tp_max_3d,0.012542556
rh_mean,0.011218718
tp_max_lag5,0.008203423
ws_mean,0.007338952
tp_max_lag3,0.0061899866
tp_max_lag7,0.0055672103
tp_max_lag1,0.0054022386
tp_max_lag2,0.004732
