lead_days,auc,recall,precision,f1
1,0.8645225451427548,0.8120544394037589,0.26591680814940577,0.4006394884092726
2,0.8327171777306728,0.8267444372434651,0.22600838599185025,0.354976347277618
3,0.8234928244052642,0.8310650248433787,0.21788627095604893,0.34525465559793583
