feature,importance
ro_p90,0.30610308
ro_max_lag2,0.101510495
ro_max_lag3,0.10042364
ro_max,0.07710683
ro_mean,0.06662377
d2m_mean,0.05369341
tp_max_7d,0.044791695
t2m_max,0.029965006
t2m_mean,0.029259557
tp_mean,0.022092257
ro_max_lag1,0.02124253
tp_max_3d,0.01978841
evap_mean,0.019070327
sp_mean,0.018207762
rh_mean,0.013249554
ws_max,0.011417736
tp_max_lag2,0.008655343
tp_p90,0.007664836
tp_p99,0.007602822
tp_max_lag3,0.0075335517
tp_max_lag7,0.0074918163
tp_max,0.0068602865
tp_max_lag1,0.006836241
ws_mean,0.0068302597
tp_max_lag5,0.005978839
